member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_phasedescription,a_phasekey,a_phaseparentkey,a_phasesorting
623,plt2021_h00_b01,PLT2021_H00_B01,BI/PLT2021 H00B01 (CODEV06102020),64901,false,BI/PLT2021 H00B01 (CODEV06102020),PLT2021_H00_B01,BXX,PLT2021_H00_V00|2021FY
656,pc2020_m11_w,PC2020_M11_W,PC2020_M11 Collecte,64901,false,PC2020_M11 Collecte,PC2020_M11_W,BDG,PC2020_M11|2020FY
689,plt2021_h00_b02,PLT2021_H00_B02,BI/PLT2021 H00B02 (COMEX20102020),64901,false,BI/PLT2021 H00B02 (COMEX20102020),PLT2021_H00_B02,BXX,PLT2021_H00_V00|2021FY
823,uat1actual_2021,UAT1Actual_2021,Réel 2021 SAP1,64901,false,Réel 2021 SAP1,UAT1Actual_2021,SAP,01.21.1|Actual2021
491,plt2020_pcm03,PLT2020_PCM03,PC/PLT 2020_M03,64901,false,PC/PLT 2020_M03,PLT2020_PCM03,CorpPlan,PLT202003|2020FY|FcstN-2
493,plt2020_pcm09,PLT2020_PCM09,PC/PLT 2020_M09,64901,false,PC/PLT 2020_M09,PLT2020_PCM09,CorpPlan,PLT202009|2020FY|FcstN-1
494,plt2020_pcm11,PLT2020_PCM11,PC/PLT 2020_M11,64901,false,PC/PLT 2020_M11,PLT2020_PCM11,CorpPlan,PLT202011|2020FY|FcstN+0
722,plt2021_h00_b03,PLT2021_H00_B03,BI/PLT2021 H00B03 (CRE20201030),64901,false,BI/PLT2021 H00B03 (CRE20201030),PLT2021_H00_B03,BXX,PLT2021_H00_V00|2021FY
755,plt2021_h00_b04,PLT2021_H00_B04,BI/PLT2021 H00B04 (COMEX10112020),64901,false,BI/PLT2021 H00B04 (COMEX10112020),PLT2021_H00_B04,BXX,PLT2021_H00_V00|2021FY
788,cfe,CFE,CFE,64901,false,CFE,CFE,BDG,zCFE
821,bi2021_ca,BI2021_CA,BI 2021,64901,false,BI 2021,BI2021_CA,Budget,BI2021_CA|2021FY
822,plt2021_h00_b05,PLT2021_H00_B05,BI/PLT2021 H00B05 (07012021),64901,false,BI/PLT2021 H00B05 (07012021),PLT2021_H00_B05,BXX,PLT2021_H00_V00|2021FY
527,demtarif2020_cre,DemTarif2020_CRE,Demande Tarifaire CRE 2020,64901,false,Demande Tarifaire CRE 2020,DemTarif2020_CRE,Tariff,DemTarif2020_CRE|2020FY|2021FY|2022FY|2023FY
